state,year,dr_customers,dr_energy_savings_mwh,dr_potential_peak_mw,dr_actual_peak_mw,dr_customer_incentives_kusd,dr_other_costs_kusd,summer_peak_mw,winter_peak_mw,sales_to_ultimate_customers_mwh,sales_total_revenue_kusd,sales_total_mwh,sales_total_customers,summer_peak_per_mwh,winter_peak_per_mwh,dr_actual_peak_share_of_summer_peak,dr_potential_peak_share_of_summer_peak,log_sales_total_mwh,log_summer_peak_mw,log_dr_actual_peak_mw
OK,2020,144687.0,14849.794,310.074,129.33,4145.945,861.065,,,,4752124.3,62299305.0,2106289.0,,,,,17.947460827997222,,4.862367277427153
OK,2021,134852.0,15744.322999999999,284.09700000000004,149.002,7826.843,2482.538,,,,5495412.2,64525137.0,2135843.0,,,,,17.982565426774755,,5.0039597286741655
OK,2022,140566.0,15985.599,333.22,134.105,10055.36,3028.842,27100.5,25200.4,86456494.0,6983513.3,69486942.0,2159508.0,0.0003900085285088528,0.0003626638225063927,0.0049484326857438055,0.012295714101215846,18.056649407990356,10.207307456882091,4.898623075200297
OK,2023,121027.0,15318.735,461.504,166.07899999999998,16509.257999999998,2517.496,27443.1,21725.600000000002,85489482.0,6415325.5,68978840.0,2181921.0,0.000397848093705258,0.000314960355958436,0.006051758001100458,0.016816759039612873,18.049310348863028,10.2198700492197,5.112463578764792
OR,2015,1314.0,973.0,53.9,55.3,1009.0,872.0,,,,4133956.1,49158052.0,1941760.0,,,,,17.71055121616503,,4.012772908528289
OR,2016,1318.0,335.0,38.2,22.6,520.0,1211.0,,,,4181825.4000000004,49361465.0,1963355.0,,,,,17.71468061702372,,3.1179499062782403
OR,2017,1521.0,348.0,36.6,17.1,527.0,1223.0,,,,4409228.0,52528923.0,1984680.0,,,,,17.776874490150004,,2.8390784635086144
OR,2018,18681.0,177.0,44.2,28.3,1195.0,4427.0,,,,4363561.7,51920022.0,2013621.0,,,,,17.76521505408883,,3.342861804649192
OR,2019,121965.0,177.0,89.127,65.621,1979.172,10319.914,,,,4438289.8,53076552.0,2030099.0,,,,,17.787245806765256,,4.183895766673164
OR,2020,117670.0,0.0,1088.56,79.493,2538.433,8479.916,,,,4501783.3,53797756.0,2051838.0,,,,,17.80074231422495,,4.3756689674691644
OR,2021,157791.0,0.0,154.893,60.22,3613.0,7291.135,,,,4847374.3,57077667.0,2075040.0,,,,,17.859923477277903,,4.0980045230535875
OR,2022,167065.0,0.0,168.42999999999998,9.0,4632.6,6559.61,27811.6,28506.7,95934429.0,5216790.0,59359888.0,2098091.0,0.00046852514276981113,0.00048023507052439185,0.00032360597736196407,0.006056106085230622,17.899129270029167,10.233208478834452,2.1972245773362196
OR,2023,174273.0,0.0,167.28,16.0,474.664,1064.306,28422.8,28333.0,96918740.0,5981538.1,61014831.0,2115218.0,0.00046583428216002103,0.0004643625088464147,0.0005629283532938346,0.00588541593368704,17.92662752373354,10.254946918965588,2.772588722239781
PA,2015,69649.0,869.0,102.9,101.5,6762.0,1464.0,,,,15094853.6,244643590.0,8045278.0,,,,,19.315312974661293,,4.620058798481842
PA,2016,64010.0,200.0,64.3,63.3,3160.0,3222.0,,,,14806260.2,243713855.0,8131867.0,,,,,19.311505369667113,,4.147885329150131
PA,2017,139245.0,3872.0,768.2,445.5,4042.0,11912.0,,,,14481196.6,240494571.0,8138540.0,,,,,19.298208073450724,,6.099197246910864
PA,2018,381139.0,164431.0,691.1,615.2,6113.0,10495.0,,,,15045455.2,248130672.0,8077388.0,,,,,19.3294660685903,,6.421947418191435
PA,2019,378037.0,163347.9,615.952,557.275,7630.445,12445.824,,,,14281863.6,240594185.0,7996370.0,,,,,19.298622192467977,,6.3230588344269965
PA,2020,346366.0,154508.4,584.886,499.12,4860.093,11741.357,,,,13549240.799999999,228374619.0,7957355.0,,,,,19.24649790435235,,6.212846547802531
PA,2021,45080.0,0.0,45.0,43.0,0.0,3196.233,,,,14288772.8,232615422.0,7870365.0,,,,,19.264897098516435,,3.7612001156935624
PA,2022,42567.0,0.0,42.446,42.446,0.0,2879.043,28735.8,29242.8,133141613.0,17209233.8,232021290.0,7773906.0,0.0001238498415382485,0.00012603498584117,0.0014771121736649058,0.0014771121736649058,19.26233969266161,10.265899011166793,3.7482326798134493
PA,2023,42568.0,0.0,42.646,42.446,0.0,3082.579,27991.0,27268.3,124781915.0,17435877.4,224675617.0,7793409.0,0.00012458405755707796,0.00012136742012374222,0.001516415990854203,0.0015235611446536388,19.23016821769388,10.239638308916676,3.7482326798134493
RI,2015,,,,,,,,,,1303970.0,10769163.0,546350.0,,,,,16.1921973302351,,
RI,2016,,,,,,,,,,1224972.2,11024956.0,561017.0,,,,,16.215671988359514,,
RI,2017,,,,,,,,,,1212716.1,10832404.0,567900.0,,,,,16.19805257033676,,
RI,2018,,,,,,,,,,1372759.3,11056912.0,569127.0,,,,,16.21856631073371,,
